值,名称,说明
mandarin,普通话,style 1/2/3 均可，支持情绪控制
english,英语,style 1/2/3 均可，支持情绪控制
henan,河南话,强制 style=3（方言/多语言），不支持情绪控制
shaanxi,陕西话,强制 style=3（方言/多语言），不支持情绪控制
sichuan,四川话,强制 style=3（方言/多语言），不支持情绪控制
guizhou,贵州话,强制 style=3（方言/多语言），不支持情绪控制
yunnan,云南话,强制 style=3（方言/多语言），不支持情绪控制
guilin,桂林话,强制 style=3（方言/多语言），不支持情绪控制
jinan,济南话,强制 style=3（方言/多语言），不支持情绪控制
shijiazhuang,石家庄话,强制 style=3（方言/多语言），不支持情绪控制
gansu,甘肃话,强制 style=3（方言/多语言），不支持情绪控制
ningxia,宁夏话,强制 style=3（方言/多语言），不支持情绪控制
qingdao,青岛话,强制 style=3（方言/多语言），不支持情绪控制
northeast,东北话,强制 style=3（方言/多语言），不支持情绪控制
yue,粤语,强制 style=3（方言/多语言），不支持情绪控制
nan,闽南语,强制 style=3（方言/多语言），不支持情绪控制
ug,维吾尔语,强制 style=3（方言/多语言），不支持情绪控制
bo,藏语,强制 style=3（方言/多语言），不支持情绪控制
khg,康巴藏语,强制 style=3（方言/多语言），不支持情绪控制
adx,安多藏语,强制 style=3（方言/多语言），不支持情绪控制
mn,蒙古语,强制 style=3（方言/多语言），不支持情绪控制
kk,哈萨克语,强制 style=3（方言/多语言），不支持情绪控制
ky,柯尔克孜语,强制 style=3（方言/多语言），不支持情绪控制
ja,日语,style=2（V2.5）支持情绪控制；style=3 走方言/多语言模型；style=1 会被升为 3
ko,韩语,强制 style=3（方言/多语言），不支持情绪控制
es,西班牙语,style=2（V2.5）支持情绪控制；style=3 走方言/多语言模型；style=1 会被升为 3
fr,法语,强制 style=3（方言/多语言），不支持情绪控制
de,德语,强制 style=3（方言/多语言），不支持情绪控制
ru,俄语,强制 style=3（方言/多语言），不支持情绪控制
pt,葡萄牙语,强制 style=3（方言/多语言），不支持情绪控制
it,意大利语,强制 style=3（方言/多语言），不支持情绪控制
th,泰语,强制 style=3（方言/多语言），不支持情绪控制
vi,越南语,强制 style=3（方言/多语言），不支持情绪控制
id,印尼语,强制 style=3（方言/多语言），不支持情绪控制
ms,马来语,强制 style=3（方言/多语言），不支持情绪控制
ar,阿拉伯语,style=2（V2.5）支持情绪控制；style=3 走方言/多语言模型；style=1 会被升为 3
hi,印地语,强制 style=3（方言/多语言），不支持情绪控制
fa,波斯语,强制 style=3（方言/多语言），不支持情绪控制
tr,土耳其语,强制 style=3（方言/多语言），不支持情绪控制
ur,乌尔都语,强制 style=3（方言/多语言），不支持情绪控制
bn,孟加拉语,强制 style=3（方言/多语言），不支持情绪控制
ta,泰米尔语,强制 style=3（方言/多语言），不支持情绪控制
nl,荷兰语,强制 style=3（方言/多语言），不支持情绪控制
pl,波兰语,强制 style=3（方言/多语言），不支持情绪控制
sv,瑞典语,强制 style=3（方言/多语言），不支持情绪控制
no,挪威语,强制 style=3（方言/多语言），不支持情绪控制
da,丹麦语,强制 style=3（方言/多语言），不支持情绪控制
fi,芬兰语,强制 style=3（方言/多语言），不支持情绪控制
el,希腊语,强制 style=3（方言/多语言），不支持情绪控制
cs,捷克语,强制 style=3（方言/多语言），不支持情绪控制
hu,匈牙利语,强制 style=3（方言/多语言），不支持情绪控制
uk,乌克兰语,强制 style=3（方言/多语言），不支持情绪控制
he,希伯来语,强制 style=3（方言/多语言），不支持情绪控制
fil,菲律宾语,强制 style=3（方言/多语言），不支持情绪控制
my,缅甸语,强制 style=3（方言/多语言），不支持情绪控制
km,高棉语,强制 style=3（方言/多语言），不支持情绪控制
lo,老挝语,强制 style=3（方言/多语言），不支持情绪控制
ne,尼泊尔语,强制 style=3（方言/多语言），不支持情绪控制
sw,斯瓦希里语,强制 style=3（方言/多语言），不支持情绪控制
